scenario,region,variables,unit,2025,2030,2035,2040,2045,2050
SSP2-Base-image,BRA,Production|Gravel|GRAVEL_ADR,kt,549.1040396777303,3806.4581043412536,7955.635394900471,13040.074994584173,19105.47684706064,26174.55484951587
SSP2-Base-image,BRA,Production|Gravel|GRAVEL_CRUSHED,kt,101649.08766775206,91750.62303416034,86215.37422721773,83400.97739920684,78528.57057982897,70291.26713599313
SSP2-Base-image,BRA,Production|Gravel|GRAVEL_ROUND,kt,101649.08766775206,91750.62303416034,86215.37422721773,83400.97739920684,78528.57057982897,70291.26713599313
SSP2-Base-image,BRA,Production|Sand|SAND_HAS,kt,172.60110693453086,1196.4925311691563,2500.712754423112,4098.91608135952,6005.467477984858,8227.506654652383
SSP2-Base-image,BRA,Production|Sand|SAND_PIT,kt,24766.084858109985,22846.159242073052,22118.26442237309,22190.019906349982,21907.711941096662,20957.349153728923
SSP2-Base-image,BRA,Production|Sand|SAND_RIVER,kt,57780.29069765806,53301.02557165784,51602.81713376618,51770.22561787215,51111.5895681269,48894.35424663995
SSP2-Base-image,CAN,Production|Gravel|GRAVEL_ADR,kt,484.9092412369944,3199.5173184818686,6401.423999713308,10091.97983098019,14261.000271285291,18891.65188408996
SSP2-Base-image,CAN,Production|Gravel|GRAVEL_CRUSHED,kt,39151.926489516816,36025.05298742184,35209.19747035517,32562.15733125007,29867.1071643621,25828.46244393182
SSP2-Base-image,CAN,Production|Gravel|GRAVEL_ROUND,kt,39151.926489516816,36025.05298742184,35209.19747035517,32562.15733125007,29867.1071643621,25828.46244393182
SSP2-Base-image,CAN,Production|Sand|SAND_HAS,kt,152.42261165918555,1005.711469815962,2012.1739933952256,3172.234702571949,4482.692267684139,5938.255396790492
SSP2-Base-image,CAN,Production|Sand|SAND_QUARRY,kt,22589.05301710667,21749.30857641064,22403.57402901697,22180.409956312782,22097.332627963904,21406.567290244773
SSP2-Base-image,CAN,Production|Sand|SAND_RIVER,kt,9337.550308860556,8990.428366402539,9260.879570108802,9168.631092298443,9134.28973534134,8848.750713954085
SSP2-Base-image,CAN,Production|Sand|SAND_ZINC,kt,2.935934867621341,2.8267919574929885,2.9118278708414724,2.8828228841447556,2.8720251926778495,2.782245331662074
SSP2-Base-image,CEU,Production|Gravel|GRAVEL_ADR,kt,1210.1533912380285,7731.692082598973,15061.886531468828,23179.899558475718,31640.979476744564,37535.11742747273
SSP2-Base-image,CEU,Production|Gravel|GRAVEL_CRUSHED,kt,89880.1337043531,81541.15813191747,70876.71048689575,58346.2240729957,46708.11256090864,37535.11742747273
SSP2-Base-image,CEU,Production|Gravel|GRAVEL_ROUND,kt,89880.1337043531,81541.15813191747,70876.71048689575,58346.2240729957,46708.11256090864,37535.11742747273
SSP2-Base-image,CEU,Production|Sand|SAND_HAS,kt,380.390235356579,2430.3201497420223,4734.436645885154,7286.189926361259,10063.906430970092,13036.356437701828
SSP2-Base-image,CEU,Production|Sand|SAND_QUARRY,kt,51891.10346903824,49400.14579192976,45860.79887139158,41528.845840703885,37744.47157107252,33764.02255672385
SSP2-Base-image,CEU,Production|Sand|SAND_RIVER,kt,21450.026650408698,20420.349018078185,18957.302740484865,17166.61991154845,15602.287617340287,13956.904657054698
SSP2-Base-image,CEU,Production|Sand|SAND_ZINC,kt,6.744368605391399,6.4206149052051416,5.960600400624229,5.397569629123434,4.905708533311863,4.388363293510743
SSP2-Base-image,CHN,Production|Gravel|GRAVEL_ADR,kt,38907.31558655625,235761.68857692377,425870.4541363003,593010.0266655365,748719.0102453365,854923.4897356622
SSP2-Base-image,CHN,Production|Gravel|GRAVEL_CRUSHED,kt,1984273.0949143686,1807506.2790897486,1587335.3290534827,1334272.5599974568,1105251.8722669252,854923.4897356622
SSP2-Base-image,CHN,Production|Gravel|GRAVEL_ROUND,kt,1984273.0949143686,1807506.2790897486,1587335.3290534827,1334272.5599974568,1105251.8722669252,854923.4897356622
SSP2-Base-image,CHN,Production|Sand|SAND_HAS,kt,13535.93788643141,88440.55062211654,170074.14692583022,252586.6946188966,332186.8770233672,406996.361441536
SSP2-Base-image,CHN,Production|Sand|SAND_QUARRY,kt,1148939.494278906,1107449.610158234,1032482.4030605374,924906.1762457159,826611.9540011152,691158.4299410162
SSP2-Base-image,CHN,Production|Sand|SAND_RIVER,kt,474932.7172565211,457782.2028019231,426793.29559720797,382324.92283452133,341693.416742424,285701.5124131105
SSP2-Base-image,CHN,Production|Sand|SAND_ZINC,kt,149.32947917232917,143.9369734594424,134.1933672498489,120.21151528847659,107.43606010869993,89.83095183217921
SSP2-Base-image,EAF,Production|Gravel|GRAVEL_ADR,kt,356.17197992621044,2496.1663349937908,5365.269483097784,9193.84310129088,14300.28266592851,21153.38075579212
SSP2-Base-image,EAF,Production|Gravel|GRAVEL_CRUSHED,kt,57378.730988939904,67173.68553174377,78800.0534637196,96608.11506947558,119506.59624360164,151427.13394340893
SSP2-Base-image,EAF,Production|Gravel|GRAVEL_ROUND,kt,57378.730988939904,67173.68553174377,78800.0534637196,96608.11506947558,119506.59624360164,151427.13394340893
SSP2-Base-image,EAF,Production|Sand|SAND_HAS,kt,111.9563389670336,784.6255743547258,1686.4772153711278,2889.921365715212,4495.039991081763,6649.189716397198
SSP2-Base-image,EAF,Production|Sand|SAND_QUARRY,kt,32981.015912350056,39339.32857459708,47001.71147088101,58539.9089814184,73440.5499731756,94119.16330554566
SSP2-Base-image,EAF,Production|Sand|SAND_RIVER,kt,13633.236200104533,16261.547547120055,19428.917410992643,24198.41791402932,30357.838797650937,38905.67797277063
SSP2-Base-image,EAF,Production|Sand|SAND_ZINC,kt,4.286594684306308,5.112994614847546,6.108886611613811,7.608524350080964,9.545184173955741,12.23281618095437
SSP2-Base-image,INDIA,Production|Gravel|GRAVEL_ADR,kt,2724.422293704393,19420.50842511247,42521.19808762112,73966.57522135142,116044.3405340822,171164.1524605539
SSP2-Base-image,INDIA,Production|Gravel|GRAVEL_CRUSHED,kt,512699.33391333866,575333.0018182356,659623.4122708479,746557.0195504252,811900.5441032508,858948.7118401007
SSP2-Base-image,INDIA,Production|Gravel|GRAVEL_ROUND,kt,512699.33391333866,575333.0018182356,659623.4122708479,746557.0195504252,811900.5441032508,858948.7118401007
SSP2-Base-image,INDIA,Production|Sand|SAND_HAS,kt,856.3737828745078,6104.492061965321,13365.783763698497,23250.079833421536,36476.47837634832,53802.41274411547
SSP2-Base-image,INDIA,Production|Sand|SAND_RIVER,kt,416326.40556754847,475287.6041379454,554948.4169841622,640879.79324132,714599.9347595356,779968.5234968321
SSP2-Base-image,INDO,Production|Gravel|GRAVEL_ADR,kt,306.58964405129086,2203.896582356095,4830.643315783302,8363.553608479588,12976.87864361955,18817.87840851561
SSP2-Base-image,INDO,Production|Gravel|GRAVEL_CRUSHED,kt,55081.45698665558,58591.84128364676,60238.768455720114,62393.39470344123,63062.20042581088,64034.020069544946
SSP2-Base-image,INDO,Production|Gravel|GRAVEL_ROUND,kt,55081.45698665558,58591.84128364676,60238.768455720114,62393.39470344123,63062.20042581088,64034.020069544946
SSP2-Base-image,INDO,Production|Sand|SAND_HAS,kt,96.37101189234389,692.7557661151895,1518.42697059638,2628.934603316874,4079.051430323409,5915.066014403116
SSP2-Base-image,INDO,Production|Sand|SAND_QUARRY,kt,31648.182638667553,34322.81876901583,36185.88040392324,38657.03755995061,40655.78898037901,43258.03553771241
SSP2-Base-image,INDO,Production|Sand|SAND_RIVER,kt,13082.288015738024,14187.892106627092,14958.018757411508,15979.511524196903,16805.727741805626,17881.40843221608
SSP2-Base-image,INDO,Production|Sand|SAND_ZINC,kt,4.113364240428604,4.460990919038928,4.703135979759712,5.024316174974554,5.284097051246766,5.622315142816914
SSP2-Base-image,JAP,Production|Gravel|GRAVEL_ADR,kt,1217.7276867488222,7099.242614488172,12248.766803489503,17378.96294627201,22684.181396671767,27799.72069891846
SSP2-Base-image,JAP,Production|Gravel|GRAVEL_CRUSHED,kt,62104.112024189926,54427.52671107599,45654.49444936996,39102.66662911202,33486.17253794404,27799.72069891846
SSP2-Base-image,JAP,Production|Gravel|GRAVEL_ROUND,kt,62104.112024189926,54427.52671107599,45654.49444936996,39102.66662911202,33486.17253794404,27799.72069891846
SSP2-Base-image,JAP,Production|Sand|SAND_HAS,kt,400.9736922856585,2505.444278048371,4751.23133531845,7096.930189219716,9502.3655444407,11927.424813350464
SSP2-Base-image,JAP,Production|Sand|SAND_QUARRY,kt,35975.74367977827,33459.00787624272,29795.293598266206,27321.735943139407,25441.730011518343,23399.167280671983
