Region,year,inflow (kt),outflow (kt),all sand supply (kt),recycled sand supply (kt),sand stock (kt),sand substitution,all gravel supply (kt),recycled gravel supply (kt),gravel stock (kt),gravel substitution
Brazil,1970,55996.37857243274,6584.1356115279505,20896.854215972013,1270.7381730248944,0.0,0.06081002240297183,25817.784496469198,4042.6592654781616,0.0,0.15658428266883356
Brazil,1971,54114.36433935615,6841.611645793642,20194.519921083393,1320.431047638173,0.0,0.06538561217588651,24950.059848418834,4200.7495505172965,0.0,0.16836631158556165
Brazil,1972,102760.42765317507,7106.9929244576215,38348.366994155906,1371.649634420321,0.0,0.03576813674046025,47378.89562773965,4363.693655616979,0.0,0.09210205509860177
Brazil,1973,97449.04798362704,7405.493701105952,36366.25440991703,1429.2602843134487,0.0,0.039301828233476006,44930.021982992424,4546.973132479055,0.0,0.10120122207374485
Brazil,1974,122635.52296627668,7740.008908615143,45765.399664388264,1493.8217193627227,0.0,0.0326408537960419,56542.5405048221,4752.365469889698,0.0,0.08404937994401585
Brazil,1975,13978.651333226078,33838.419311217935,5216.584473734792,5216.584473734792,1314.2304533302704,1.0,6445.020497275234,6445.020497275234,14331.768959812578,1.0
Brazil,1976,151395.16313827797,5006.539360315249,56497.98672268763,2280.4925498711136,0.0,0.04036413830221223,69802.50857929805,17405.78412704614,0.0,0.2493575729770882
Brazil,1977,139441.62557240168,8844.30831398733,52037.138749168225,1706.951504599555,0.0,0.032802562662552985,64291.19044205382,5430.405304788221,0.0,0.08446577621988023
Brazil,1978,56558.47380216588,9240.158190595283,21106.618175190073,1783.3505307848895,0.0,0.08449248079359022,26076.94506859391,5673.4571290255035,0.0,0.21756601910621814
Brazil,1979,153164.2209593435,9659.224254205048,57158.16769025882,1864.2302810615743,0.0,0.032615291154255904,70618.15335402191,5930.7636920818995,0.0,0.08398355678248737
Brazil,1980,138551.88269515516,10106.392305263953,51705.10250558384,1950.533714915943,0.0,0.0377242016821318,63880.964094428404,6205.324875432067,0.0,0.09713887326840275
Brazil,1981,11436.899799409151,33569.3269367179,4268.0479324531,4268.0479324531,2210.8321663334555,1.0,5273.116259597235,5273.116259597235,15338.450479547555,1.0
Brazil,1982,63424.323025308295,6710.971658254488,23668.831195792176,3506.049696376572,0.0,0.1481293971541727,29242.525060504453,19458.98707771581,0.0,0.6654345696021139
Brazil,1983,75447.52947616563,8459.748983756306,28155.6783601513,1632.731553864967,0.0,0.05798942341150516,34785.96485104852,5194.285876026372,0.0,0.14932131100195156
Brazil,1984,160218.64032775303,10351.101636649788,59790.75174083806,1997.762615873409,0.0,0.03341256896271643,73870.67581430434,6355.576404902969,0.0,0.08603652714481155
Brazil,1985,42680.157410689855,31498.709874166565,15927.476920177127,6079.251005714147,0.0,0.3816832406150202,19678.185168335996,19340.20786273827,0.0,0.9828247725739686
Brazil,1986,66485.06676792746,19721.06888454718,24811.04641421434,3806.166294717606,0.0,0.15340611722595623,30653.716718972897,12108.736295111969,0.0,0.3950169046749673
Brazil,1987,16807.08981780211,51287.31337907283,6272.107494649004,6272.107494649004,3626.343987512053,1.0,7749.105102708163,7749.105102708163,23741.305312042554,1.0
Brazil,1988,57952.30259928847,14962.354291534746,21626.77033356257,6514.0783657782595,0.0,0.3012043992379697,26719.586118363506,26719.586118363506,6208.604728681381,1.0
Brazil,1989,28942.0630784887,49383.873400996046,10800.664047913793,9531.087566392238,0.0,0.8824538495143008,13344.07628659577,13344.07628659577,23186.226710297182,1.0
Brazil,1990,76317.87184005934,9544.19280997308,28480.4746766264,1842.0292123248043,0.0,0.06467691403460128,35187.24636535376,29046.361095620654,0.0,0.8254798000965606
Brazil,1991,120919.98775943427,10574.128553427021,45125.192386101844,2040.806810811415,0.0,0.045225442882321436,55751.57295664269,6492.51493180419,0.0,0.11645438123967083
Brazil,1992,26549.09899520415,37809.74804376282,9907.652341312605,7297.281372446224,0.0,0.7365298176661144,12240.77224113654,12240.77224113654,10974.41305773383,1.0
Brazil,1993,84952.50852562272,6774.2835700998285,31702.767771754014,1307.4367290292669,0.0,0.041240460089864595,39168.34647997672,15133.823169775123,0.0,0.3863789138382877
Brazil,1994,139511.44061054787,11153.550502220663,52063.1924817741,2152.635246928588,0.0,0.041346585645553074,64323.37948097782,6848.2800083634875,0.0,0.1064664211305737
Brazil,1995,279788.84900596476,12003.928290657104,104412.23054039804,2316.758160096821,0.0,0.02218857070772419,128999.91735728661,7370.411970463462,0.0,0.05713501311826338
Brazil,1996,114805.03438214294,17379.60811013091,42843.20036232424,3354.2643652552656,0.0,0.07829163874053074,52932.20226650691,10671.079379620378,0.0,0.20159900632686412
Brazil,1997,109063.49062783222,19932.73433841864,40700.55817961133,3847.0177273147974,0.0,0.0945200237878294,50284.99644525726,12238.698883789044,0.0,0.24338669084152562
Brazil,1998,39814.53638025481,39290.22385633858,14858.078033358668,7583.013204273347,0.0,0.5103629949478201,18356.95711576431,18356.95711576431,5767.240332027577,1.0
Brazil,1999,55020.85117353768,35007.06126675128,20532.804712091558,6756.362824482998,0.0,0.3290521153451698,25368.00619299382,25368.00619299382,1893.5697568190444,1.0
Brazil,2000,120965.62701748026,19883.517511176167,45142.224146837565,3837.5188796570005,0.0,0.08500952162158447,55772.61546972746,14102.049508681212,0.0,0.25284899031381436
Brazil,2001,124485.46973711788,17583.976993214932,46455.766951757956,3393.707559690482,0.0,0.07305244929471687,57395.480074793326,10796.561873833967,0.0,0.18810822489444687
Brazil,2002,68691.0251617017,33843.01662998351,25634.27091794848,6531.702209586818,0.0,0.2548035101327373,31670.799606663048,20779.612210809875,0.0,0.6561126485242944
Brazil,2003,78592.69932525142,30590.317930312467,29329.399902443554,5903.931360550307,0.0,0.20129738010965664,36236.082152178155,18782.455209211854,0.0,0.5183357055636557
Brazil,2004,50615.5582278622,41371.59713603241,18888.827604797865,7984.718247254255,0.0,0.4227217492961868,23336.894417289495,23336.894417289495,2065.266224234405,1.0
Brazil,2005,156143.55520440458,24329.6237307277,58270.00232969289,4695.617380030446,0.0,0.08058378569237984,71991.81021260678,17003.655194901214,0.0,0.23618874347909694
Brazil,2006,160122.36874698423,19836.0717633101,59754.824896285696,3828.3618503188495,0.0,0.06406782811201606,73826.28867733604,12179.348062672401,0.0,0.1649730506690274
Brazil,2007,256828.57617394696,20615.91442129199,95843.86440027367,3978.871483309354,0.0,0.041514096997303386,118413.81534373602,12658.171454673282,0.0,0.10689775866041198
Brazil,2008,238841.27649487622,21483.585318115285,89131.32354111197,4146.33196639625,0.0,0.0465193581971634,110120.56069715285,13190.921385322785,0.0,0.11978618072604705
Brazil,2009,53192.61131300532,41478.96251606569,19850.538058222945,8005.439765600678,0.0,0.4032857820841023,24525.07484760291,24525.07484760291,943.0081372614186,1.0
Brazil,2010,234555.31854928605,21794.745186134904,87531.88013694731,4206.385820924036,0.0,0.04805547206735385,108144.469717322,14324.98168154825,0.0,0.13246152779695725
Brazil,2011,303374.2996430098,24267.989744262122,113213.90193675102,4683.72202064259,0.0,0.04137055556356706,139874.2649012386,14900.545702976942,0.0,0.10652814306833219
Brazil,2012,91134.5255460042,28747.773232341562,34009.78675635613,5548.320233841921,0.0,0.16313893037876778,42018.63764620382,17651.13276465772,0.0,0.42007865445995524
Brazil,2013,119979.2291166878,26844.990675293935,44774.117964664765,5181.08320033173,0.0,0.1157160305071913,55317.825194361925,16482.824274630475,0.0,0.2979658765816851
Brazil,2014,32212.415308982956,39633.12075662674,12021.10143221924,7649.192306028961,0.0,0.6363137645213952,14851.910387067668,14851.910387067668,9482.82575750115,1.0
Brazil,2015,157858.12069309148,28158.51642972316,58909.847726381915,5434.59367093657,0.0,0.09225271971807808,72782.33066090224,26772.15484535117,0.0,0.36783865812273087
Brazil,2016,195185.92152519498,29113.672879019905,72839.92020744982,5618.938865650842,0.0,0.07714092560299313,89992.74930188229,17875.79514771822,0.0,0.19863594885576333
Brazil,2017,210158.89053163794,36247.72709140989,78427.56638180335,6995.811328642109,0.0,0.08920092323896547,96896.21157811895,22256.104434125675,0.0,0.22969014032279808
Brazil,2018,217080.0802006843,37382.48401770213,81010.43147419623,7214.819415416512,0.0,0.08906037511619236,100087.30692910647,22952.845186869108,0.0,0.2293282324313811
Brazil,2019,224062.5447713602,38571.516984860915,83616.16327188497,7444.302778078157,0.0,0.08902947093939699,103306.65378931024,23682.9114287046,0.0,0.2292486549511607
Brazil,2020,231301.83613906437,39812.33506202217,86317.73827002839,7683.780666970279,0.0,0.0890174003741045,106644.41364456182,24444.77372808161,0.0,0.22921757354824313
Brazil,2021,201354.5418247026,41104.43263158364,75141.93977369292,7933.155497895642,0.0,0.10557560161193799,92836.86375344858,25238.12163579235,0.0,0.27185452648226544
Brazil,2022,206270.25334546284,42414.52165083083,76976.39603025648,8186.00267861035,0.0,0.10634432242570495,95103.3099759598,26042.51629361013,0.0,0.2738339632994178
Brazil,2023,211361.67335336708,43746.937888959845,78876.4235743562,8443.159012569251,0.0,0.10704287326884122,97450.768649114,26860.619863821343,0.0,0.27563271420194746
Brazil,2024,216448.09228044527,45109.24621893531,80774.58480389045,8706.084520254515,0.0,0.10778247318004404,99795.9215155302,27697.07717842628,0.0,0.2775371654253032
Brazil,2025,221658.39338576578,46503.92518443318,82718.97666270258,8975.257560595604,0.0,0.1085030052679857,102198.19170742978,28553.410063241972,0.0,0.27939251748195215
Brazil,2026,191180.64419609582,47932.676117945986,71345.22182561683,9251.006490763575,0.0,0.12966539670133814,88146.06939922544,29430.663136418836,0.0,0.3338851447036554
Brazil,2027,194965.55284563568,49363.13711998491,72757.68252908709,9527.085464157088,0.0,0.13094267344686722,89891.14574780111,30308.966191670734,0.0,0.3371741002913197
Brazil,2028,198671.54885999448,50801.11123658345,74140.6944382743,9804.614468660606,0.0,0.13224335896696274,91599.83850406078,31191.882299262237,0.0,0.3405233328864378
