scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
SSP2-Base-image,BRA,Production|Gravel|GRAVEL_ADR,kt,304.26507780217395,2132.432633098012,4516.811013365481,7489.823777822126,11077.680419504193,15310.21768517765,20199.335428158764
SSP2-Base-image,BRA,Production|Gravel|GRAVEL_CRUSHED,kt,230659.70170258018,217158.0135292077,197721.9637578586,188441.32604177576,185792.86728402713,179447.82952045603,166595.84728843436
SSP2-Base-image,BRA,Production|Gravel|GRAVEL_ROUND,kt,230659.70170258018,217158.0135292077,197721.9637578586,188441.32604177576,185792.86728402713,179447.82952045603,166595.84728843436
SSP2-Base-image,BRA,Production|Sand|SAND_HAS,kt,226.37655553518377,1586.5532708469811,3360.5569413189974,5572.511050680874,8241.91574925787,11390.969903939489,15028.527136129049
SSP2-Base-image,BRA,Production|Sand|SAND_PIT,kt,69203.98027473739,65153.11852849907,59321.792141328035,56537.356608375994,55742.749287388375,53839.070989916065,49983.13812296502
SSP2-Base-image,BRA,Production|Sand|SAND_RIVER,kt,161455.72142784277,152004.8950007086,138400.17161653057,131903.96943339976,130050.11799663876,125608.75853053996,116612.70916546934
SSP2-Base-image,CAN,Production|Gravel|GRAVEL_ADR,kt,283.25507863861657,1883.1336420534076,3796.6042618702354,6026.613250238547,8573.242670315294,11428.085271545924,14578.999161309468
SSP2-Base-image,CAN,Production|Gravel|GRAVEL_CRUSHED,kt,85096.12867485158,81994.3699595132,77061.93174420182,77530.74598429969,74419.51565846927,71591.43468347675,66225.61508264953
SSP2-Base-image,CAN,Production|Gravel|GRAVEL_ROUND,kt,85096.12867485158,81994.3699595132,77061.93174420182,77530.74598429969,74419.51565846927,71591.43468347675,66225.61508264953
SSP2-Base-image,CAN,Production|Sand|SAND_HAS,kt,210.7448856873034,1401.0720868125545,2824.7152178640263,4483.86636740062,6378.586591311303,8502.620802959751,10846.935301044889
SSP2-Base-image,CAN,Production|Sand|SAND_QUARRY,kt,60202.590036887756,58008.20221642224,54518.671489433655,54850.341471835665,52649.252812068524,50648.482598664996,46852.34941762682
SSP2-Base-image,CAN,Production|Sand|SAND_RIVER,kt,24885.714012333094,23978.62832550814,22536.174377000643,22673.275527025493,21763.41993992879,20936.369221601773,19367.17619123281
SSP2-Base-image,CAN,Production|Sand|SAND_ZINC,kt,7.824625630678658,7.539417582766719,7.085877767474626,7.1289854384841185,6.842906471913788,6.582863209932813,6.089473789849375
SSP2-Base-image,CEU,Production|Gravel|GRAVEL_ADR,kt,735.179265048426,4699.602253963998,9174.563595171225,14179.995724108396,19691.567692029872,25656.72011150634,32005.533085442614
SSP2-Base-image,CEU,Production|Gravel|GRAVEL_CRUSHED,kt,193985.73994707922,187648.1313221339,174262.1236591553,156466.7532347415,135264.6434460717,115784.83606714182,95274.48428446561
SSP2-Base-image,CEU,Production|Gravel|GRAVEL_ROUND,kt,193985.73994707922,187648.1313221339,174262.1236591553,156466.7532347415,135264.6434460717,115784.83606714182,95274.48428446561
SSP2-Base-image,CEU,Production|Sand|SAND_HAS,kt,546.9814377802429,3496.555629461576,6825.975955622846,10550.072366879946,14650.742370466614,19088.88120558272,23812.467701799767
